class,text
suicide,What is the most successful medicine?
suicide,Can paracetamol kill you..? I think this is the easiest way as I got to hide from everyone by faking that I have a fever...
suicide,It is the easiest one and is the most best one to do because you can buy pills from the shop and they don't question you!
suicide,What is the fastest way to commit suicide?
suicide,Might try mom has lots of medicines. -11 year old
suicide,Would beta blockers work? If so how many would I need to take?
suicide,I wouldn't recommend overdosing
suicide,I've tried this so many times. All it did was make me feel numb
suicide,I feel like I'm useless to everyone
suicide,I only live with my dad and his girlfriend but he never talks to me anymore. I feel like I can't do this anymore...
suicide,Done it before almost worked till my brother came home. So this is better is painless
suicide,"Gonna try this in a few months, maybe?"
suicide,"It would be quick and easy, just falling asleep...forever haha"
suicide,Hi: I am a 67 year old male. 'triple bypass survivor... because of all of the drugs I have to take to keep me alive.
suicide,The drugs do keep me alive... but...because I am not the father and husband I should be and used to be. I want to end my life...
suicide,"so 'please respond with the ""any suggestions"" How I can... end my life without any pain or memory."
suicide,This is what I'm doing now sick of life hate it just want to go 
suicide,It would be just like going to sleep
suicide,"Just die, stop breathing, you can stop it all with various ways. You can stop it."
suicide,"I would do it this way every time. Apart from the spending money to buy, say, heroin, u can easily fall asleep and never wake up, know more than one who have gone out this way. Just make sure u use enough."
suicide,It works and its easy to do my mom has A LOT of drugs and one time she said some of them could kill me sooo to be honest I'm most likely going to do this one
suicide,This would be pretty easy for me as I have access to controlled drugs
suicide,Easiest and u don't feel anything just drink the pills and fall to the ground all u do is swallow something nothing else
suicide,I have considered suicide in the past
suicide,Was here to end it all and ended up laughing at all these comments you guys are great love you all
suicide,"Yeah, my dad did this, I suffer from depression so I might try too"
suicide,You just need to buy about a dozen fever pills and done.
suicide,It's disturbing how many people on this list want to die...
suicide,I need to know what pills to take to commit suicide
suicide,I tried about 10 years ago unfortunately my friend found me in time. I was in a hospital for almost a month now I'm ready to try again I can't take the pain n heart ache my son is causing me
suicide,"Well, I don't want to feel such a great pain when I wanted to die. So, I'm going to use this option right now."
suicide,"I've done it, of course didn't die, I didn't feel a thing."
suicide,Worked good popped a couple and I died worked like a charm
suicide,It is the least painful and the easiest way to commit suicide. Might try it.
suicide,The fact that this list is trending scares me
suicide,I was searching on how to kill myself but yeah okay
suicide,"Kids don't do it, you will only feel numb."
suicide,Sounds fun I tried but just had a seizure my mom found me and I went to a phych ward
suicide,"A girl at school did this. At one point I was suicidal and seriously considered it. Yet, I feel I may be going back to that place. Probably why I'm here."
suicide,Sometimes I want die but I think it is important to live that I have mission in this world and suicide not the right option to end your problem.
suicide,I've tried it but unluckily didn't die.
suicide,I think this is the best way cause then u can just sleep and then your dead
suicide,I believe sleeping pills are the most efficient although they sometimes do not work and just get you sick.
suicide,Least painful and easy. Nobody will know if you do it. Does atomoxitine kill you?
suicide,"I tried overdosing on Tylenol. Man, the pain though."
suicide,What other pills can I take?
suicide,"If you take a bunch of sleeping pills like Xanax or something it will knock you out, you'll die in your sleep. Painless, Plus you get to do your favorite thing before death. SLEEP."
suicide,Anyone who has a solid suggestion of what pills and where I could find them
suicide,I am 15 I have tried to kill myself 3 times and I got saved or it didn't work each time so do u think this will actually work?
suicide,I know some pills will just make your organs fail and not kill you. Any recommendations as to which pills to take?
suicide,I tried this 7 times already each time I took 100% more pills and it never worked. I tried mixing the pills too
suicide,"I just need to get some money and then buy some pills, then ill take at least 20 and then I can finally die"
suicide,"It is much less painful to overdose on pills, then jump off a height or stab yourself to be honest"
suicide,I think this one is best. Since you could just die and you won't noitce at all! So I could just fall to sleep like how Aoura in the sleeping beuty did.
suicide,The heart disease pills
suicide,And the blood sugar pills
suicide,Trust me they work
suicide,"I tried this but did not manage to have enough before my guardian came home, planning on trying it again sometime"
suicide,Which pills do I use? How many do I use? Can I do this at school?
suicide,It is simple and painless. All that happens is you fall asleep and never wake up
suicide,I recommend using Prozac for an overdose.
suicide,Very good way tried it once didn't work
suicide,I thank it would help and I'm bipolar+4
suicide,Which pills are the best to choose?
suicide,Ima try this with sleeping pills
suicide,I think this is less painful so 4 thumbs up for this
suicide,It's a great way To go if no one knows what you took
suicide,This is the best in my opinion but it depends on your body becos some just vomit when overdosing
suicide,"Climb a mountain, bottle of booze a bottle of pills... Yeah the best way"
suicide,"I have had suicidal thoughts in the past and I was thinking to do this... but regardless, remember you are always loved"
suicide,I would rather die this way then shooting yourself because that would be more painful.
suicide,Worked very well with sleeping pills and alcohol!
suicide,I guess a lot of people want to commit suicide according to the likes
suicide,"Take 1-2 sleeping pills, have a good rest. Take a bottle, sleep forever."
suicide,This is meant to be agony but I am honestly thinking of trying it
suicide,I'm thinking bout doing it to myself
suicide,Look around everybody's doing it
suicide,All those suicidal comments here are just shocking
suicide,Thanks imma try this later today after I go to work
suicide,Not a bad idea but depending on what u wanna go out on could be expensive
suicide,Tried it but I only got a fever. Maybe I should try the strong medicine
suicide,"Great, I want to die, and commit suicide!"
suicide,Thank you for showing me this.
suicide,I hope I can actually go to sleep after this
suicide,I did it ones it worked like it should.
suicide,"I'm gonna test it tonight, so its probably gonna be effective"
suicide,"I'll take 37 pills, I'm 11 years old so I hope these pills are enough."
suicide,It works if u take the right stuff
suicide,"Easy, cause it works with many kinds of pills"
suicide,"Pentobarbital might be just about the most effective and ""peaceful"" method of commiting suicide, but its inaccessibility (Schedule II in the USA) makes it tough to obtain."
suicide,You want your loved ones to find you this way? drugs in your system? Hanging at least get across that is wasn't an accident and not a scream for help gone wrong.
suicide,I going to try and take a whole bottle of sleeping pills and some NyQuil pills
suicide,"Don't do this, I survived and it was extremely painful. At least don't use Tylenol, I used 2x the lethal dose but it still didn't work."
suicide,"Overdose of anything works, I tried out with wine and detergent, almost worked but threw up blood after 6 hours of sleeping. do make sure to take smth or some sort of pills that can stop u from throwing up just in case"
suicide,I really love fentanyl and my bro killed himself next to me just now. This is so epic and I can't wait to follow his steps! Good luck!
suicide,"I took a half bottle of 30 mg morphine tablets and still survived, although I was in a coma for a week."
suicide,I would love to do this! I even have Benadryl no one cares any damn way...!
suicide,"I still need to do the research but I'm guessing fentenal would be easily obtained, not very painful and would have a fairly high probability of success.just my opinion and guesswork so far though."
suicide,"I did this once, almost worked but for some reason I still walked to work anyways and my co worker called an ambulance. Fml."
suicide,I'm gonna do that and hopefully it wokrs because I'm done withthe pain..
suicide,I want to do but I life in afrika so mo medecone only fpr aids and ebola can I'm do it with those
suicide,"This is my way...a person can only take so much before they’re pushed over there limit...my limit has already been passed, I honestly think this is it"
suicide,Make sure you take the correct pills because if they’re not strong enough or if you don’t take enough then it will not work all you will do is feel dizzy or tired so make sure you take strong ones and a lot of them : )
suicide,"I tried to find signals but nobody saw them, I'm sorry to whomever I may hurt"
suicide,"I couldn’t ever hang myself but the pill overdose is seeming like the way to go, in my sleep peacefully"
suicide,I am considering suicide but I have no idea what pills will work and I want to do it that way because it just makes you tired but I just don’t know which ones will work I don’t want to be saved while my body is shutting down
suicide,"Considering this, it's the best option. Hope I do it before I turn 18 this year. If you're very young and having issues don't take your life. Puberty makes you feel a lot of stuff. It's hard for your parents to adjust to that stage. Give it time and live"
suicide,“I am constantly torn between killing myself and killing everyone around me.” 
suicide,“But in the end one needs more courage to live than to kill himself.” 
suicide,"“A lot of you cared, just not enough.” "
suicide,"“Did you really want to die?"""
suicide,"""No one commits suicide because they want to die."""
suicide,"""Then why do they do it?"""
suicide,Because they want to stop the pain
suicide,The thought of suicide is a great consolation: by means of it one gets through many a dark night
suicide,"and he suddenly knew that if she killed herself, he would die. Maybe not immediately, maybe not with the same blinding rush of pain, but it would happen. You couldn't live for very long without a heart"
suicide,There comes a time when you look into the mirror and you realize that what you see is all that you will ever be. And then you accept it. Or you kill yourself. Or you stop looking in mirrors
suicide,I waste at least an hour every day lying in bed. Then I waste time pacing. I waste time thinking. I waste time being quiet and not saying anything because I'm afraid I'll stutter
suicide,Everything...affects everything
suicide,I went to the worst of bars hoping to get killed but all I could do was to get drunk again
suicide,The only difference between a suicide and a martyrdom really is the amount of press coverage
suicide,"Let them think what they liked, but I didn't mean to drown myself. I meant to swim till I sank -- but that's not the same thing"
suicide,"It is not worth the bother of killing yourself, since you always kill yourself too late"
suicide,Some people are just not meant to be in this world. It's just too much for them
suicide,I don't want to hurt you or anybody so please forget about me. Just try. Find yourself a better friend
suicide,I'm the girl nobody knows until she commits suicide. Then suddenly everyone had a class with her
suicide,"The parts of me that used to think I was different or smarter or whatever, almost made me die"
suicide,"There was a moment in my life when I really wanted to kill myself. And there was one other moment when I was close to that. . . . But even in my most jaded times, I had some hope"
suicide,"If I had no sense of humor, I would long ago have committed suicide"
suicide,I think many people kill themselves simply to stop the debate about whether they will or they won't
suicide,Nothing in my life has ever made me want to commit suicide more than people's reaction to my trying to commit suicide
suicide,I tried to think but couldn't
suicide,So I jumped in and sank
suicide,My room is so quiet and empty it hurts
suicide,"When you're young and healthy you can plan on Monday to commit suicide, and by Wednesday you're laughing again"
suicide,"When people kill themselves, they think they're ending the pain, but all they're doing is passing it on to those they leave behind"
suicide,People rarely bring flowers to a suicide
suicide,It is good to be a cynic — it is better to be a contented cat — and it is best not to exist at all
suicide,"If they tell you that she died of sleeping pills you must know that she died of a wasting grief, of a slow bleeding at the soul"
suicide,The bravest thing I ever did was continuing my life when I wanted to die
suicide,There are so many things that I want so badly to tell you but I just can't
suicide,It was easy enough to kill yourself in a fit of despair. It was easy enough to play the martyr. It was harder to do nothing. To endure your life. To wait
suicide,Killing myself was a matter of such indifference to me that I felt like waiting for a moment when it would make some difference
suicide,You need to spend time crawling alone through shadows to truly appreciate what it is to stand in the sun
suicide,"What's the big fucking deal? Lots of amazing people have committed suicide, and they turned out alright"
suicide,"Suicide only really frightens those who are never tempted by it and never will be, for its darkness only welcomes those who are predestined to it"
suicide,It's all crap.
suicide,Living is crap.
suicide,Life has no meaning.
suicide,None. Nowhere to be found.
suicide,Crap.
suicide,Why doesn't anybody realize this?” 
suicide,"I know, too, that death is the only god who comes when you call."
suicide,You might be looking for reasons but there are no reasons
suicide,The language of love letters is the same as suicide notes
suicide,"In the meantime, I could withdraw to my room, could hide and sleep as if I were dead"
suicide,The thought that I might kill myself formed in my mind coolly as a tree or a flower
suicide,"Depression isn't a war you win. It's a battle you fight every day. You never stop, never get to rest. It's one bloody fray after another"
suicide,Life’s greatest gift is the freedom it leaves you to step out of it whenever you choose
suicide,No man ever threw away life while it was worth keeping
suicide,I feel certain that I'm going mad again. I feel we can't go through another of those terrible times. And I shan't recover this time. I begin to hear voices
suicide,The act of taking my own life is not something I am doing without a lot of thought. 
suicide,I don't believe that people should take their own lives without deep and thoughtful reflection over a considerable period of time
suicide,"I do believe strongly, however, that the right to do so is one of the most fundamental rights that anyone in a free society should have"
suicide,For me much of the world makes no sense
suicide,"my feelings about what I am doing ring loud and clear to an inner ear and a place where there is no self, only calm"
suicide,The future is just old age and illness and pain
suicide,I must have peace and this is the only way
suicide,"May God forgive you and forgive me too but I prefer to take my life away and our baby's before I bring him with shame or killing him, Lupe"
suicide,No More Walking
suicide,No More Fun
suicide,hurt
suicide,Bea - I have always loved you. This is not your fault. Ask Daddy
suicide,"Frances and Courtney, I'll be at your altar. Please keep going Courtney, for Frances for her life will be so much happier without me"
suicide,When I am dead
suicide,"Shakes out her rain drenched hair,"
suicide,Tho you should lean above me broken hearted
suicide,"Dear World, I am leaving you because I am bored. I feel I have lived long enough. I am leaving you with your worries in this sweet cesspool - good luck."
suicide,I must end it. There's no hope left. I'll be at peace. No one had anything to do with this. My decision totally
suicide,They tried to get me - I got them first!
suicide,"Don't worry, it's not loaded"
suicide,"The feast is over, and the lamps expire"
suicide,Lets see if this will do it
suicide,"Goodbye, my friend, goodbye"
suicide,Goodbye:
suicide,There's nothing new in dying now
suicide,Though living is no newer.
suicide,To my friends: My work is done. Why wait?
suicide,"Goodbye, everybody!"
suicide,"These were the last words of Hart Crane as he jumped off the cruise ship ""Orizaba."" His body was never found"
suicide,Where can I find a gun
suicide,Committed Suicide” vs. “Died by Suicide
suicide,Completed Suicide
suicide,Successful Attempt
suicide,Failed Attempt
suicide,Died by Suicide
suicide,Killed himself
suicide,In which part of my body should I shot myself
suicide,Best part of the body to shot 
anxiety,Anxiety is something everyone feels every once in a while
anxiety,which is why it’s easy to think it’s “no big deal” when someone has an anxiety disorder
anxiety,"But anxiety disorders can be daunting, and for the people who have them, they’re very real."
anxiety,Anxiety keeps me awake at night; it keeps me as a prisoner in my home
anxiety,Anxiety makes me feel like a failure
anxiety,it has taken away my self-worth. Anxiety makes me feel uncomfortable and nervous
anxiety," Anxiety has taken away friends, family, opportunities, my life"
anxiety,Anxiety is like having new tabs opening very quickly [on your computer] one after another and not being able to close them or stop new ones from opening — but in your head
anxiety,"It happens while working, taking care of kids, driving, answering questions, and a million other things that people do in a day."
anxiety,Anxiety is like an adrenaline rush without the actual roller coaster
anxiety,"Heart races, palms sweat, knees get weak"
anxiety,You have all the physical symptoms of a thrill ride but your brain has no actual event to tie the symptoms to
anxiety,It’s like you have no control
anxiety,"it’s feeling constantly uncomfortable in your own skin. It is isolating, lonely, and it’s soul-destroying."
anxiety,My anxiety takes over my body
anxiety,My breathing is irregular
anxiety,my heart is racing despite minimal activity
anxiety,and my muscles are tense unless I consciously relax them
anxiety,My mind doesn’t shut off
anxiety,I think about things that could go wrong
anxiety,"things that went wrong in the past, and things I have absolutely no control over"
anxiety,"Despite having the knowledge that I cannot control everything that happens, I struggle with these consuming symptoms on a daily basis"
anxiety,It’s like not realizing you’ve been holding your breath so you have to constantly remind yourself to breathe
anxiety,Anxiety takes you to a place where you’re outside of your body and cannot determine fantasy from reality
anxiety,"It’s debilitating, scary and downright gut-wrenching"
anxiety,Picture a bunch of people loudly talking to you about everything you don’t want to hear — that’s how it feels in my head
anxiety,"Some days are better than others, but it feels like pure chaos on bad days, and it’s exhausting"
anxiety,Anxiety feels like being the passenger of a race car driver while pleading to be let out. 
anxiety,I close my eyes and take deep breaths at every endless turn.
anxiety,My panic attacks make me feel numb and cold all over
anxiety,"I feel like I’m going crazy, about to die, my heart is beating too fast, and I can’t get air"
anxiety,I often have to get up and go outside to get fresh air
anxiety,It feels like being in fight-or-flight mode.
anxiety,"Never being able to stop overthinking, overanalyzing, over worrying"
anxiety,It lets your thoughts run your life
anxiety,You feel like crying a lot because you have no control
anxiety,Your life is not your own
anxiety,It feels like having absolutely no control of your emotions
anxiety,"Sometimes I feel like I’m watching myself work something up in my head, knowing I’m safe and fine"
anxiety,but not being able to control the panic creeping up my neck or the fear response
anxiety,It’s horrible.
anxiety,Your life is simply like a roller coaster ride
anxiety,"One moment it’s happy and fun, and then in a second whip around the corner,"
anxiety,it’s instantly scary and overwhelming
anxiety,It’s a 24/7 ride
anxiety,"the mind is always going, preparing for the worst, over analyzing things to the point where you learn to expect the worst."
anxiety,"Anxiety consumes your life, especially when it affects someone you love dearly."
anxiety,"Understanding it is truly difficult, but be patient. Reassuring they are loved and not alone is key"
anxiety,I often thought of it as standing in a water tank
anxiety,"Sometimes you’re only in puddles, sometimes it’s knee level but still bearable"
anxiety,but there are days when the water level rises up too high and too fast and you’re struggling to stay afloat and breathe.
anxiety,Anxiety is knowing however much you plan ahead
anxiety,you still expect the worst to happen
anxiety,"Even if it doesn’t, you convince yourself it will next time; it’s a never-ending cycle."
anxiety,It feels like your brain got switched from 40 mph to 140 mph and your body can’t keep up. You can’t breathe or think or run away.
anxiety,Imagine being at the mall with your 3-year-old child but you turn around and they have disappeared
anxiety,Imagine the level of panic you would experience
anxiety,Some days every single thing feels like that.
anxiety,No rhyme or reason — it just does and you can’t turn it off
anxiety,It’s that battle-ready mode where you’re on high alert to literally everything around you
anxiety,"every worry and fear, but there’s a cage you just can’t get through"
anxiety,"You just stand there frozen, mind racing, and your heart feels like it will explode out of your chest"
anxiety,"In truth, it’s indescribable because everything just gets hazy and it’s hard enough just to remember where you are at times, let alone push past it."
anxiety,It’s the ultimate feeling of being alone
anxiety,It’s like walking through a field of land mines with one clear path
anxiety,"but with every step, the path changes and you have no idea when the mines will explode"
anxiety,Every step is uncertain; it makes you second guess everything in your life.
anxiety,That split second before you trip when your breath gets caught up in your throat and you lose all control over what’s happening.
anxiety,"That feeling right there, but it lasts sometimes for days"
anxiety,I feel like I’m being drowned by waves and caught in a rip tide
anxiety,I have to keep treading and swim diagonally towards the shore. You can’t get there directly
anxiety,It’s a knot in your chest that’s always there lurking waiting to creep in and put seeds of doubt and worry into every thought
anxiety,"Like an out-of-control, out-of-body experience"
anxiety,You’re watching yourself and can’t do anything to control it
anxiety,I have recently been struggling with very intense anxiety
anxiety,panic attacks that seemed to have come on all out of a sudden.
anxiety,I always thought I knew what anxiety was and what it was like for people who feel anxious on a regular basis but I was very wrong
anxiety,I am now very aware of what it is like to have anxiety
anxiety,Now that I know the reason for my feelings it is a little easier to try and make sense of however when the anxious feelings and panic attacks started I was terrified
anxiety,I didn’t want to think and yet I couldn’t stop thinking
anxiety,I was scared
anxiety,I was worried
anxiety,i was confused 
anxiety,I felt alone
anxiety,Specifically quotes about anxiety and panics attacks
anxiety,I know what it’s like to be afraid of your own mind
anxiety,I have no idea how not to think
anxiety,It’s really sad how one day I’ll seem to have everything going right then the next day I’ll lose everything so fast
anxiety,Don’t assume I’m weak because I have panic attacks
anxiety,You’ll never know the amount of strength it takes to face the world every day
anxiety,I miss the person I used to be
anxiety,"I have this problem: I isolate myself, then become upset because I’m lonely"
anxiety,"Just because I can’t explain the feelings causing my anxiety, doesn’t make them less valid"
anxiety,The worst feeling in the world is trying to hold back a panic attack in public
anxiety,I am exhausted from trying to be stronger than I feel
anxiety,Sometimes I get anxious because I don’t feel anxious
anxiety,Which means I forgot what I was supposed to feel anxious about in the first place and that gives me anxiety.
anxiety,This is one of the most frustrating things about having an anxiety disorder
anxiety,"Knowing as you’re freaking out that there’s no reason to be freaked out, but lacking the ability to shut the emotion down"
anxiety,"It’s sad, actually, because my anxiety keeps me from enjoying things as much as I should at this age"
anxiety,I don’t think anyone could ever criticize me more severely than the way I viciously criticize myself
anxiety,I get nervous about everything
anxiety,sometimes I literally don’t know why I’m anxious
anxiety,I just am and no-one seems to understand that
anxiety,I don’t think people understand how stressful it is to explain what’s going on in your head when you don’t even understand it yourself
anxiety,No amount of me trying to explain myself was doing any good
anxiety,"I didn't even know what was going on inside of me, so how could I have explained it to them"
anxiety,Do you know that feeling?
anxiety,When everything you do seems like a struggle
anxiety,Where you dont wanna leave the house because you know everyone is judging you
anxiety,The only people that can't handle the truth are those that suffer so much anxiety that they will live in denial
anxiety,Anxiety is the monster that resides within
anxiety,The mind that constantly wanders through the past is always a terrible mess
anxiety,"Just as anxiety can feed on itself, so can courage"
anxiety,You want to be there for me but an anxiety attack is a solitary activity
anxiety,"According to studies, empathic children are more susceptible to developing problems such as anxiety and depression in later life, especially if they experience emotionally turbulent upbringings"
anxiety,2Mg Xanax is an anti-anxiety pill this is the first choice of medication for many medicos
anxiety,You feeling scared?
anxiety,I hated hurting her
anxiety,I hated making her feel helpless.
anxiety,I hated it
anxiety,She was running her fingers through my hair
anxiety,Anxiety disorders cannot be summed up in a cute Facebook comic.
anxiety,I know it's irrational
anxiety,Well anxiety is stupid
anxiety,I did not just say people with anxiety are stupid
anxiety,I mean that anxiety itself is stupid
anxiety,Because anxiety doesn't know what anything is
anxiety,It will try to convince you that things that are totally fine are worthy of dread
anxiety,Anxiety is the dizziness of freedom
anxiety,Anxiety is love's greatest killer
anxiety,It makes others feel as you might when a drowning man holds on to you
anxiety,"You want to save him, but you know he will strangle you with his panic"
anxiety,"After all, what is happiness?"
anxiety,"On the contrary, it's a constant state of anxiety, a battlefield"
anxiety,it's sleepless nights
anxiety,Real love is composed of ecstasy and agony
anxiety,"always makes one anxious, because it means that if the only hope doesn't work"
anxiety,there is nothing left
anxiety,"If you want to conquer the anxiety of life, live in the moment, live in the breath"
anxiety,It did what all ads are supposed to do: create an anxiety relievable by purchase
anxiety,"The more you pray, the less you'll panic"
anxiety,"Our anxiety does not empty tomorrow of its sorrows, but only empties today of its strengths"
anxiety,Man is not worried by real problems so much as by his imagined anxieties about real problems
anxiety,To venture causes anxiety
anxiety,You are crazy
anxiety,difficulties fill you with anxiety
anxiety,Anxiety's like a rocking chair
anxiety,"It gives you something to do, but it doesn't get you very far"
anxiety,It’s OKAY to be scared
anxiety,Anxiety was born in the very same moment as mankind
anxiety,It was that sort of sleep in which you wake every hour
anxiety,and think to yourself that you have not been sleeping at all
anxiety,In an era of stress and anxiety
anxiety,Chronic anxiety is a state more undesirable than any other
anxiety,How can a person deal with anxiety?
anxiety,I promise you nothing is as chaotic as it seems
anxiety,Nothing is worth diminishing your health.
anxiety,Mental health
anxiety,"Nothing is worth poisoning yourself into stress, anxiety, and fear"
anxiety,Anxiety is a feeling grown too large. 
anxiety,But...you're not responsible for causing it
anxiety,You're not morally at fault for it
anxiety,Temperamentally anxious people can have a hard time staying motivated
anxiety,their intense focus on their worries distracts them from their goals
anxiety,Some people feel guilty about their anxieties and regard them as a defect of faith
anxiety,The largest part of what we call 'personality' is determined by how we've opted to defend ourselves against anxiety and sadness
anxiety,"I met a boy whose eyes showed me that the past, present and future were all the same thing"
anxiety,I've wasted a lot of time in my life
anxiety,Extreme orgasm anxiety forms the basis of the general fear of life
anxiety,"Our anxiety does not come from thinking about the future, but from wanting to control it."
anxiety,"I thought too much, lived too much in the mind. It was hard to make decisions."
anxiety,I wouldn't call it anxiety so much as dying without dying.
anxiety,"People with anxiety always feel alone in their own head, and also hate to feel like a burden to others."
anxiety,Forget about what you are escaping from. Reserve your anxiety for what you are escaping to.
anxiety,"Calm down, heart. Please."
anxiety,"Love looks forward, hate looks back, anxiety has eyes all over its head."
anxiety,My memories have turned into anxieties.
anxiety,"I mean, I have the feeling that something in my mind is poisoning everything else."
anxiety,We don’t have to morph into something disingenuous for the sake of appeasing others.
anxiety,It’s a toxic cycle: Your thoughts become your worries and your worries become your thoughts.
anxiety,"I feel like I’m underwater, weighed down, helpless."
anxiety,"Dear friend, You are not a freak. You are wanted. You are necessary. You are the only you there is. Don’t be afraid to leave the castle. It’s a great big world out there."
anxiety,"My mind turned by anxiety, or other cause, from its scrutiny of blank paper, is like a lost child–wandering the house, sitting on the bottom step to cry."
